dataset,seed,alpha1,alpha2,alpha4
abilene,42,0.2524110495787558,0.15819740069051805,0.5893915503401524
abilene,43,0.23341788663122193,0.5528625191531865,0.21371959257976303
abilene,44,0.26378774696097307,0.043312214763988575,0.6929000390081828
abilene,45,0.19802264024264113,0.48564753940312916,0.31632982139437843
abilene,46,0.25014710840557186,0.1441268950315859,0.6057259984690179
abilene,47,0.29580796333110054,0.40195477019816744,0.30223726540767254
abilene,48,0.43255808337294893,0.18823305619158867,0.37920886248826685
abilene,49,0.13275428119070856,0.5777626364213514,0.28948308444990883
geant,42,0.13685906243958654,0.28801005695452975,0.575130883711669
geant,43,0.3086655525172629,0.337722943257334,0.35361150105353734
geant,44,0.26707028972600355,0.3114891837943684,0.4214405296514938
geant,45,0.4130630945154939,0.38834690604928856,0.1985900009881102
geant,46,0.24557702874397228,0.36163707543370993,0.3927858954919151
geant,47,0.22112132301616033,0.4796210013313463,0.29925767466128533
geant,48,0.32657071934835347,0.11192849342878536,0.5615007856204082
geant,49,0.3428438685817888,0.26466655222381036,0.3924895796569647
