forecast_hour,truth,dlinear_seed42,adaptive_multiscale_seed42
1,0.33144885,0.4123785,0.38363838
2,0.40276277,0.40616268,0.41431594
3,0.52478147,0.40876916,0.4306906
4,0.5554805,0.4118363,0.44692168
5,0.60320336,0.3866597,0.46607673
6,0.60316205,0.4006653,0.4829074
7,0.5918341,0.4132431,0.49518472
8,0.52184826,0.41690665,0.5050187
9,0.51110065,0.4323405,0.48805153
10,0.5380974,0.41992643,0.47595155
11,0.4629206,0.40467045,0.4693634
12,0.46221864,0.40614074,0.4641559
13,0.50554156,0.4111508,0.45333534
14,0.5045798,0.41092578,0.43732554
15,0.51395255,0.38425696,0.4246222
16,0.5340601,0.37140325,0.41176543
17,0.4988131,0.37081265,0.40430325
18,0.46642748,0.36558282,0.39155
19,0.46835983,0.36093158,0.39018652
20,0.4932975,0.3565037,0.37301534
21,0.46708828,0.35527885,0.36357296
22,0.40296608,0.3629313,0.36214513
23,0.38266057,0.35256672,0.36057526
24,0.39775229,0.3539736,0.36217052
