dataset,dataset_label,model,model_label,seed,metric,value
abilene,Abilene,dlinear,DLinear,42,MSE,0.19404634833335876
abilene,Abilene,dlinear,DLinear,42,MAE,0.186801016330719
abilene,Abilene,dlinear,DLinear,43,MSE,0.19238583743572235
abilene,Abilene,dlinear,DLinear,43,MAE,0.17921601235866547
abilene,Abilene,dlinear,DLinear,44,MSE,0.19551776349544525
abilene,Abilene,dlinear,DLinear,44,MAE,0.19794736802577972
abilene,Abilene,lightts,LightTS,42,MSE,0.27845314145088196
abilene,Abilene,lightts,LightTS,42,MAE,0.21295683085918427
abilene,Abilene,lightts,LightTS,43,MSE,0.259255975484848
abilene,Abilene,lightts,LightTS,43,MAE,0.1991196572780609
abilene,Abilene,lightts,LightTS,44,MSE,0.25862428545951843
abilene,Abilene,lightts,LightTS,44,MAE,0.20068830251693726
abilene,Abilene,dlinear_scale,本文方法,42,MSE,0.18552349507808685
abilene,Abilene,dlinear_scale,本文方法,42,MAE,0.16804689168930054
abilene,Abilene,dlinear_scale,本文方法,43,MSE,0.18445460498332977
abilene,Abilene,dlinear_scale,本文方法,43,MAE,0.1688472330570221
abilene,Abilene,dlinear_scale,本文方法,44,MSE,0.18831947445869446
abilene,Abilene,dlinear_scale,本文方法,44,MAE,0.16771386563777924
geant,GÉANT,dlinear,DLinear,42,MSE,0.44988271594047546
geant,GÉANT,dlinear,DLinear,42,MAE,0.3771122097969055
geant,GÉANT,dlinear,DLinear,43,MSE,0.46296972036361694
geant,GÉANT,dlinear,DLinear,43,MAE,0.388968825340271
geant,GÉANT,dlinear,DLinear,44,MSE,0.4502049684524536
geant,GÉANT,dlinear,DLinear,44,MAE,0.3825499415397644
geant,GÉANT,lightts,LightTS,42,MSE,0.7893001437187195
geant,GÉANT,lightts,LightTS,42,MAE,0.5293365716934204
geant,GÉANT,lightts,LightTS,43,MSE,0.8340440392494202
geant,GÉANT,lightts,LightTS,43,MAE,0.5071224570274353
geant,GÉANT,lightts,LightTS,44,MSE,0.8265542984008789
geant,GÉANT,lightts,LightTS,44,MAE,0.5316475033760071
geant,GÉANT,dlinear_scale,本文方法,42,MSE,0.39875033497810364
geant,GÉANT,dlinear_scale,本文方法,42,MAE,0.34954139590263367
geant,GÉANT,dlinear_scale,本文方法,43,MSE,0.49220040440559387
geant,GÉANT,dlinear_scale,本文方法,43,MAE,0.40492209792137146
geant,GÉANT,dlinear_scale,本文方法,44,MSE,0.4116821587085724
geant,GÉANT,dlinear_scale,本文方法,44,MAE,0.3544047772884369
