forecast_hour,dlinear_absolute_error,adaptive_absolute_error,adaptive_better,evidence_scope
1,0.08092964999999996,0.052189529999999984,True,"representative window, seed 42, channel 29"
2,0.003399910000000006,0.011553170000000001,False,"representative window, seed 42, channel 29"
3,0.11601230999999995,0.09409087,True,"representative window, seed 42, channel 29"
4,0.14364420000000006,0.10855882000000006,True,"representative window, seed 42, channel 29"
5,0.21654365999999997,0.13712662999999997,True,"representative window, seed 42, channel 29"
6,0.20249675,0.12025465000000002,True,"representative window, seed 42, channel 29"
7,0.17859100000000006,0.09664938000000001,True,"representative window, seed 42, channel 29"
8,0.10494160999999996,0.01682955999999991,True,"representative window, seed 42, channel 29"
9,0.07876015000000003,0.023049120000000034,True,"representative window, seed 42, channel 29"
10,0.11817096999999993,0.06214584999999995,True,"representative window, seed 42, channel 29"
11,0.05825015,0.006442799999999971,True,"representative window, seed 42, channel 29"
12,0.056077900000000014,0.0019372599999999962,True,"representative window, seed 42, channel 29"
13,0.09439075999999996,0.05220621999999997,True,"representative window, seed 42, channel 29"
14,0.09365402,0.06725426000000001,True,"representative window, seed 42, channel 29"
15,0.12969558999999997,0.08933034999999995,True,"representative window, seed 42, channel 29"
16,0.16265685000000002,0.12229467000000005,True,"representative window, seed 42, channel 29"
17,0.12800045,0.09450985,True,"representative window, seed 42, channel 29"
18,0.10084466000000003,0.07487748,True,"representative window, seed 42, channel 29"
19,0.10742825,0.07817331,True,"representative window, seed 42, channel 29"
20,0.13679380000000002,0.12028216000000003,True,"representative window, seed 42, channel 29"
21,0.11180943000000004,0.10351532000000002,True,"representative window, seed 42, channel 29"
22,0.04003477999999999,0.04082095000000002,False,"representative window, seed 42, channel 29"
23,0.030093849999999978,0.02208530999999997,True,"representative window, seed 42, channel 29"
24,0.04377869000000001,0.03558177000000001,True,"representative window, seed 42, channel 29"
