dataset,seed,test_window_index,alpha_1,alpha_2,alpha_4
abilene,42,0,0.2387651652097702,0.16038517653942108,0.6008496284484863
abilene,42,1,0.23666228353977203,0.15955889225006104,0.6037788391113281
abilene,42,2,0.2302925139665604,0.1569070070981979,0.6128005385398865
abilene,42,3,0.2448188215494156,0.16286616027355194,0.5923150777816772
abilene,42,4,0.24847884476184845,0.16431854665279388,0.5872026681900024
abilene,42,5,0.2540758848190308,0.1665486246347427,0.5793755054473877
abilene,42,6,0.2545948326587677,0.1667378693819046,0.5786672234535217
abilene,42,7,0.2662883996963501,0.1712450236082077,0.5624666213989258
abilene,42,8,0.26564478874206543,0.17102451622486115,0.5633307099342345
abilene,42,9,0.27190467715263367,0.17343024909496307,0.5546650886535645
abilene,42,10,0.2535658180713653,0.16660000383853912,0.5798342227935791
abilene,42,11,0.2474728226661682,0.1643724739551544,0.5881547927856445
abilene,42,12,0.2494438737630844,0.16534993052482605,0.5852062106132507
abilene,42,13,0.24322056770324707,0.16306486725807187,0.5937145948410033
abilene,42,14,0.2443370819091797,0.16370590031147003,0.5919570326805115
abilene,42,15,0.23644164204597476,0.16068442165851593,0.6028739809989929
abilene,42,16,0.22455063462257385,0.15585029125213623,0.6195990443229675
abilene,42,17,0.2375585436820984,0.1614845097064972,0.6009569764137268
abilene,42,18,0.23667044937610623,0.16130216419696808,0.6020273566246033
abilene,42,19,0.21549443900585172,0.1521545648574829,0.6323510408401489
abilene,42,20,0.22723832726478577,0.15750733017921448,0.6152543425559998
abilene,42,21,0.2532779276371002,0.16826431453227997,0.5784578323364258
abilene,42,22,0.2458512634038925,0.1653981655836105,0.5887505412101746
abilene,42,23,0.2374272346496582,0.16203205287456512,0.6005407571792603
abilene,42,24,0.2520162761211395,0.16803352534770963,0.5799501538276672
abilene,42,25,0.2600644528865814,0.17132538557052612,0.5686101913452148
abilene,42,26,0.2573387026786804,0.1703734993934631,0.5722877979278564
abilene,42,27,0.27454274892807007,0.17705465853214264,0.5484026074409485
abilene,42,28,0.26773008704185486,0.1746433973312378,0.5576265454292296
abilene,42,29,0.2605806589126587,0.17199456691741943,0.5674247741699219
abilene,42,30,0.2782678008079529,0.17874100804328918,0.5429912209510803
abilene,42,31,0.26659607887268066,0.17443785071372983,0.5589660406112671
abilene,42,32,0.28182926774024963,0.18020571768283844,0.5379649996757507
abilene,42,33,0.28010943531990046,0.1797218471765518,0.5401687622070312
abilene,42,34,0.2804420292377472,0.18008236587047577,0.5394755601882936
abilene,42,35,0.27043572068214417,0.17664450407028198,0.5529197454452515
abilene,42,36,0.24772000312805173,0.1680019050836563,0.5842781066894531
abilene,42,37,0.2409203797578812,0.1654258817434311,0.5936537384986876
abilene,42,38,0.24260292947292328,0.1663118153810501,0.5910851955413817
abilene,42,39,0.23643426597118375,0.16394838690757751,0.5996173620223999
abilene,42,40,0.22655040025711057,0.15979540348052979,0.6136541366577148
abilene,42,41,0.22522191703319547,0.15936315059661865,0.6154149770736694
abilene,42,42,0.22738665342330927,0.16045688092708588,0.6121565103530884
abilene,42,43,0.23301936686038968,0.16307781636714935,0.6039027571678162
abilene,42,44,0.23368991911411283,0.16350668668746948,0.6028034090995789
abilene,42,45,0.23394034802913663,0.16369302570819855,0.6023666262626648
abilene,42,46,0.23666834831237793,0.16495873034000397,0.5983729958534241
abilene,42,47,0.22356030344963077,0.1592257022857666,0.6172140240669249
abilene,42,48,0.22765511274337769,0.16111689805984497,0.6112279891967772
abilene,42,49,0.23716269433498385,0.1653955578804016,0.5974416732788086
abilene,42,50,0.22987946867942807,0.16222842037677765,0.6078920960426331
abilene,42,51,0.25169321894645685,0.17156484723091123,0.5767419338226318
abilene,42,52,0.24880127608776087,0.17045335471630096,0.5807453393936157
abilene,42,53,0.25801733136177063,0.1742204874753952,0.5677621364593506
abilene,42,54,0.24519133567810056,0.16900579631328583,0.5858028531074524
abilene,42,55,0.2581615447998047,0.17433783411979675,0.5675005912780762
abilene,42,56,0.26425498723983765,0.1767563670873642,0.5589886903762816
abilene,42,57,0.2417579740285873,0.16768759489059448,0.5905544757843018
abilene,42,58,0.21821080148220065,0.15637819468975067,0.6254110336303711
abilene,42,59,0.20754337310791013,0.1496294140815735,0.6428272128105164
abilene,42,60,0.2010779827833176,0.14551188051700592,0.6534101963043213
abilene,42,61,0.1995854377746582,0.14456036686897275,0.6558541655540465
abilene,42,62,0.19347910583019257,0.13997726142406464,0.6665436029434204
abilene,42,63,0.19142006337642667,0.13833457231521606,0.6702452898025513
abilene,42,64,0.18945057690143585,0.1367478221654892,0.6738015413284302
abilene,42,65,0.1894443333148956,0.13672722876071927,0.6738284230232239
abilene,42,66,0.19235059618949887,0.13904622197151184,0.6686031818389893
abilene,42,67,0.19965505599975583,0.1445436328649521,0.6558012962341309
abilene,42,68,0.2050105780363083,0.14792890846729279,0.6470605134963989
abilene,42,69,0.21371667087078092,0.15348213911056519,0.6328011751174927
abilene,42,70,0.21892318129539487,0.15676240622997284,0.6243144273757936
abilene,42,71,0.21780367195606232,0.15605436265468595,0.6261419653892517
abilene,42,72,0.21857529878616333,0.1565324366092682,0.6248922348022461
abilene,42,73,0.22069102525711057,0.15785734355449677,0.6214516162872313
abilene,42,74,0.2315765619277954,0.1634429693222046,0.60498046875
