dataset,forecast_hour,truth,dlinear_seed42,adaptive_multiscale_seed42,truth_original_scale,dlinear_original_scale,adaptive_multiscale_original_scale
abilene,1,0.33144885,0.4123785,0.38363838,3.6624868e+06,6.399216e+06,5.2488225e+06
abilene,2,0.40276277,0.40616268,0.41431594,5.988687e+06,6.13074e+06,6.485277e+06
abilene,3,0.52478147,0.40876916,0.4306906,1.3890772e+07,6.2419175e+06,7.260451e+06
abilene,4,0.5554805,0.4118363,0.44692168,1.7165512e+07,6.3753315e+06,8.120238e+06
abilene,5,0.60320336,0.3866597,0.46607673,2.3854328e+07,5.3593185e+06,9.266813e+06
abilene,6,0.60316205,0.4006653,0.4829074,2.3847508e+07,5.9026935e+06,1.0407121e+07
abilene,7,0.5918341,0.4132431,0.49518472,2.2055676e+07,6.437472e+06,1.1326511e+07
abilene,8,0.52184826,0.41690665,0.5050187,1.3612646e+07,6.602166e+06,1.2121179e+07
abilene,9,0.51110065,0.4323405,0.48805153,1.2640312e+07,7.3435205e+06,1.0782897e+07
abilene,10,0.5380974,0.41992643,0.47595155,1.5226551e+07,6.741081e+06,9.919754e+06
abilene,11,0.4629206,0.40467045,0.4693634,9.06732e+06,6.067977e+06,9.479208e+06
abilene,12,0.46221864,0.40614074,0.4641559,9.023532e+06,6.12981e+06,9.144887e+06
abilene,13,0.50554156,0.4111508,0.45333534,1.2164953e+07,6.34527e+06,8.487405e+06
abilene,14,0.5045798,0.41092578,0.43732554,1.2084544e+07,6.3354325e+06,7.6003295e+06
abilene,15,0.51395255,0.38425696,0.4246222,1.2891341e+07,5.271256e+06,6.9629175e+06
abilene,16,0.5340601,0.37140325,0.41176543,1.4808524e+07,4.8241755e+06,6.3722195e+06
abilene,17,0.4988131,0.37081265,0.40430325,1.161346e+07,4.804566e+06,6.052638e+06
abilene,18,0.46642748,0.36558282,0.39155,9.289252e+06,4.634394e+06,5.5431165e+06
abilene,19,0.46835983,0.36093158,0.39018652,9.41384e+06,4.4881215e+06,5.4912425e+06
abilene,20,0.4932975,0.3565037,0.37301534,1.1180086e+07,4.3531615e+06,4.878096e+06
abilene,21,0.46708828,0.35527885,0.36357296,9.331659e+06,4.316551e+06,4.570614e+06
abilene,22,0.40296608,0.3629313,0.36214513,5.9970885e+06,4.550438e+06,4.525834e+06
abilene,23,0.38266057,0.35256672,0.36057526,5.2135515e+06,4.236579e+06,4.4771095e+06
abilene,24,0.39775229,0.3539736,0.36217052,5.7853185e+06,4.277877e+06,4.526628e+06
geant,1,-0.30433464,-0.053937957,-0.1489236,746.5201,1289.0472,1047.838
geant,2,0.14962208,-0.0023372173,-0.030936733,2009.3005,1442.5841,1355.359
geant,3,-0.007378638,0.06345338,0.055263907,1426.8112,1665.128,1635.6564
geant,4,0.63480693,0.12402417,0.115837924,5786.0103,1900.229,1866.6119
geant,5,0.09618951,0.09489146,0.12935278,1788.3314,1783.2772,1922.4346
geant,6,-0.0018711482,0.040278286,0.096574634,1444.0516,1583.0712,1789.8337
geant,7,-0.08517549,-0.0065812916,0.08346935,1204.1512,1429.2943,1739.4115
geant,8,-0.2369725,0.042195797,0.107187346,864.7181,1589.7048,1831.734
geant,9,0.35570496,0.009287715,0.0833649,3148.9517,1479.6228,1739.0157
geant,10,-0.51021963,-0.019074753,0.07111733,476.27335,1390.8784,1693.1881
geant,11,-0.44315252,-0.0935507,0.016683415,551.38446,1182.355,1503.6788
geant,12,0.29628247,-0.15716808,-0.025805265,2766.3538,1029.1625,1370.612
geant,13,-0.13730878,-0.18903323,-0.04496845,1074.7245,960.05347,1314.5118
geant,14,-0.13434373,-0.23798093,-0.07146804,1081.6979,862.81757,1240.6946
geant,15,-0.002821958,-0.2910871,-0.10179032,1441.0602,768.4153,1161.296
geant,16,-0.21781436,-0.31487322,-0.13963506,901.6269,729.5483,1069.2852
geant,17,-0.55104595,-0.36173248,-0.18683194,435.64444,658.62915,964.67474
geant,18,-0.23637451,-0.38587886,-0.21847925,865.8466,624.8166,900.3198
geant,19,-0.05825535,-0.40551233,-0.2364988,1276.9668,598.6051,865.6119
geant,20,-0.6648322,-0.3901318,-0.26384988,339.75116,619.04315,815.46747
geant,21,-0.15518272,-0.35787326,-0.25089997,1033.629,664.2,838.8369
geant,22,-0.4472729,-0.32959425,-0.24303034,546.4469,706.48376,853.36426
geant,23,-0.3911367,-0.2632665,-0.19177853,617.68665,816.50604,954.3208
geant,24,-0.16718721,-0.20070778,-0.13284665,1006.9133,935.91113,1085.236
