dataset,seed,baseline,metric,baseline_value,adaptive_value,relative_improvement_pct
abilene,42,DLinear,MSE,0.19404634833335876,0.18552349507808685,4.392173997848295
abilene,42,固定等权,MSE,0.193126678467,0.185523495078,3.9368892218063793
abilene,42,DLinear,MAE,0.186801016330719,0.16804689168930054,10.039626662531377
abilene,42,固定等权,MAE,0.186702370644,0.168046891689,9.992095381890923
abilene,42,DLinear,RMSE,0.4405069351196289,0.4307243824005127,2.220748855284095
abilene,42,固定等权,RMSE,0.439461797476,0.430724382401,1.9882081048187463
abilene,43,DLinear,MSE,0.19238583743572235,0.18445460498332977,4.122565651456784
abilene,43,固定等权,MSE,0.193099498749,0.184454604983,4.476911551819742
abilene,43,DLinear,MAE,0.17921601235866547,0.1688472330570221,5.785632190550198
abilene,43,固定等权,MAE,0.19584685564,0.168847233057,13.7860893884505
abilene,43,DLinear,RMSE,0.43861809372901917,0.42948177456855774,2.0829781741985998
abilene,43,固定等权,RMSE,0.439430892467,0.429481774569,2.264091594049038
abilene,44,DLinear,MSE,0.19551776349544525,0.18831947445869446,3.681654755077271
abilene,44,固定等权,MSE,0.195023417473,0.188319474459,3.437506685538489
abilene,44,DLinear,MAE,0.19794736802577972,0.16771386563777924,15.27350562401164
abilene,44,固定等权,MAE,0.186856746674,0.167713865638,10.24468282614257
abilene,44,DLinear,RMSE,0.44217389822006226,0.43395790457725525,1.858091053289186
abilene,44,固定等权,RMSE,0.441614568233,0.433957904577,1.7337887394965323
abilene,45,DLinear,MSE,0.19464465975761414,0.19263474643230438,1.0326064572296232
abilene,45,固定等权,MSE,0.190392777324,0.192634746432,-1.177549453036614
abilene,45,DLinear,MAE,0.19275064766407013,0.16848713159561157,12.58803348393699
abilene,45,固定等权,MAE,0.198909282684,0.168487131596,15.294485344020146
abilene,45,DLinear,RMSE,0.44118550419807434,0.43890175223350525,0.5176398460144738
abilene,45,固定等权,RMSE,0.436340212822,0.438901752234,-0.587050960862275
abilene,46,DLinear,MSE,0.197076216340065,0.19305463135242462,2.0406242124625185
abilene,46,固定等权,MSE,0.192011252046,0.193054631352,-0.5433948765408938
abilene,46,DLinear,MAE,0.1981028914451599,0.1736854910850525,12.325615331498984
abilene,46,固定等权,MAE,0.195710584521,0.173685491085,11.253910201078911
abilene,46,DLinear,RMSE,0.4439326822757721,0.43937981128692627,1.0255768882583802
abilene,46,固定等权,RMSE,0.438190877438,0.439379811287,-0.27132784140815613
abilene,47,DLinear,MSE,0.19376397132873535,0.19023463129997253,1.8214635076688344
abilene,47,固定等权,MSE,0.192806079984,0.1902346313,1.3336968856030842
abilene,47,DLinear,MAE,0.17584268748760223,0.18550972640514374,-5.497549574373445
abilene,47,固定等权,MAE,0.187877967954,0.185509726405,1.2605211642377594
abilene,47,DLinear,RMSE,0.4401862919330597,0.4361589550971985,0.9149164591598989
abilene,47,固定等权,RMSE,0.43909689784,0.436158955097,0.6690875652850915
abilene,48,DLinear,MSE,0.1945461928844452,0.18847738206386566,3.1194703584789383
abilene,48,固定等权,MSE,0.19115909934,0.188477382064,1.4028718932339372
abilene,48,DLinear,MAE,0.18851439654827118,0.18624556064605713,1.20353455426047
abilene,48,固定等权,MAE,0.183197557926,0.186245560646,-1.6637791215706021
abilene,48,DLinear,RMSE,0.4410738945007324,0.43413981795310974,1.5720895373940946
abilene,48,固定等权,RMSE,0.437217444181,0.434139817953,0.7039120394121161
abilene,49,DLinear,MSE,0.1915583312511444,0.18785886466503143,1.9312480756907173
abilene,49,固定等权,MSE,0.188548788428,0.187858864665,0.36591259416309363
abilene,49,DLinear,MAE,0.19142065942287445,0.16773721575737,12.372459554213783
abilene,49,固定等权,MAE,0.188944086432,0.167737215757,11.223886958024606
abilene,49,DLinear,RMSE,0.43767377734184265,0.4334268867969513,0.9703324176020597
abilene,49,固定等权,RMSE,0.434222042561,0.433426886797,0.18312192520450352
geant,42,DLinear,MSE,0.44988271594047546,0.39875033497810364,11.365713585035175
geant,42,固定等权,MSE,0.437869161367,0.398750334978,8.933907623654855
geant,42,DLinear,MAE,0.3771122097969055,0.34954139590263367,7.311037186815077
geant,42,固定等权,MAE,0.37271463871,0.349541395903,6.217422231443539
geant,42,DLinear,RMSE,0.6707329750061035,0.631466805934906,5.8542177788173
geant,42,固定等权,RMSE,0.66171681881,0.631466805935,4.571443858628248
geant,43,DLinear,MSE,0.46296972036361694,0.49220040440559387,-6.313735597874332
geant,43,固定等权,MSE,0.436474233866,0.492200404406,-12.76734483188491
geant,43,DLinear,MAE,0.388968825340271,0.40492209792137146,-4.101427040366152
geant,43,固定等权,MAE,0.369571059942,0.404922097921,-9.56542376033121
geant,43,DLinear,RMSE,0.6804187893867493,0.7015699744224548,-3.1085539326109433
geant,43,固定等权,RMSE,0.660661995411,0.701569974422,-6.191967949594402
geant,44,DLinear,MSE,0.4502049684524536,0.4116821587085724,8.556726922917031
geant,44,固定等权,MSE,0.434566348791,0.411682158709,5.265983007120944
geant,44,DLinear,MAE,0.3825499415397644,0.3544047772884369,7.357252268303366
