dataset,baseline,metric,n_seeds,mean_relative_improvement_pct,sd_pct,ci95_halfwidth_pct,wins
abilene,DLinear,MSE,8,2.7677258769891226,1.2286948070060268,1.0272145649548186,8
abilene,DLinear,MAE,8,8.01135722832875,7.063199828834607,5.904982830557127,7
abilene,DLinear,RMSE,8,1.3952966539000986,0.6231309769514101,0.5209505336469401,8
abilene,固定等权,MSE,8,1.6541055628234023,2.1055150018553497,1.7602545923562927,6
abilene,固定等权,MAE,8,8.923986517784353,5.960057091869582,4.982732422910504,7
abilene,固定等权,RMSE,8,0.8354788957494496,1.062063848126795,0.8879075971405608,6
geant,DLinear,MSE,8,2.3482639668894825,5.879684352158632,4.915539130983451,5
geant,DLinear,MAE,8,1.3242620888233467,4.573347014125287,3.8234137856815096,4
geant,DLinear,RMSE,8,1.2204953234569027,2.982467230018296,2.4934050023703076,5
geant,固定等权,MSE,8,4.536699588377874,8.100975059063277,6.772584634977385,7
geant,固定等权,MAE,8,3.0496090981252038,6.199346941436361,5.1827837434819575,6
geant,固定等权,RMSE,8,2.3684642923173596,4.058616763363302,3.3930885270487834,7
