dataset,seed,metric,lightts,adaptive,relative_improvement_pct,adaptive_parameters,lightts_parameters
abilene,42,MSE,0.27845314145088196,0.18552349507808685,33.373531319698735,8339,130162
abilene,42,MAE,0.21295683085918427,0.16804689168930054,21.088752583653918,8339,130162
abilene,42,RMSE,0.527686595916748,0.4307243824005127,18.374962386107846,8339,130162
abilene,43,MSE,0.259255975484848,0.18445460498332977,28.852322636586614,8339,130162
abilene,43,MAE,0.1991196572780609,0.1688472330570221,15.203131943304246,8339,130162
abilene,43,RMSE,0.5091718435287476,0.42948177456855774,15.65091824557863,8339,130162
abilene,44,MSE,0.25862428545951843,0.18831947445869446,27.18414895797887,8339,130162
abilene,44,MAE,0.20068830251693726,0.16771386563777924,16.43067207485853,8339,130162
abilene,44,RMSE,0.5085511803627014,0.43395790457725525,14.667801131096745,8339,130162
geant,42,MSE,0.7893001437187195,0.39875033497810364,49.48051914707302,8339,384382
geant,42,MAE,0.5293365716934204,0.34954139590263367,33.96613523520532,8339,384382
geant,42,RMSE,0.8884256482124329,0.631466805934906,28.922942825271186,8339,384382
geant,43,MSE,0.8340440392494202,0.49220040440559387,40.98628115026888,8339,384382
geant,43,MAE,0.5071224570274353,0.40492209792137146,20.152994151575268,8339,384382
geant,43,RMSE,0.9132601022720337,0.7015699744224548,23.179609765381223,8339,384382
geant,44,MSE,0.8265542984008789,0.4116821587085724,50.19296862831067,8339,384382
geant,44,MAE,0.5316475033760071,0.3544047772884369,33.338391502276174,8339,384382
geant,44,RMSE,0.9091503024101257,0.6416246294975281,29.425901548225465,8339,384382
