model,seed,parameters,mse,mae,rmse,raw_rmse,seconds
dlinear,42,4656,0.19404634833335876,0.186801016330719,0.4405069351196289,12979536896.0,19.035394599999563
dlinear,43,4656,0.19238583743572235,0.17921601235866547,0.43861809372901917,12979543040.0,17.834420999999566
dlinear,44,4656,0.19551776349544525,0.19794736802577972,0.44217389822006226,12979539968.0,14.41967509999995
dlinear_freq,42,4680,0.19685900211334229,0.19108055531978607,0.44368794560432434,12979538944.0,18.68889930000023
dlinear_freq,43,4680,0.1967492252588272,0.18440401554107666,0.443564236164093,12979565568.0,22.731773900000007
dlinear_freq,44,4680,0.19793519377708435,0.19978344440460205,0.4448990821838379,12979539968.0,18.99623430000065
dlinear_scale,42,8339,0.18552349507808685,0.16804689168930054,0.4307243824005127,12979517440.0,66.65433690000009
dlinear_scale,43,8339,0.18445460498332977,0.1688472330570221,0.42948177456855774,12979524608.0,52.98801160000039
dlinear_scale,44,8339,0.18831947445869446,0.16771386563777924,0.43395790457725525,12979526656.0,72.3558935000001
fits,42,750,0.19995303452014923,0.19402441382408142,0.44716107845306396,12988910592.0,20.171848599999976
fits,43,750,0.20338992774486542,0.20137298107147217,0.45098772644996643,12980240384.0,15.096311899999819
fits,44,750,0.2033459097146988,0.19949838519096375,0.4509389102458954,12981958656.0,17.993333000000348
proposed,42,8381,0.19083210825920105,0.17342692613601685,0.4368433356285095,12979518464.0,100.02854560000014
proposed,43,8381,0.187635138630867,0.17263105511665344,0.4331687092781067,12979524608.0,83.37289239999973
proposed,44,8381,0.1988297402858734,0.17425717413425446,0.4459032714366913,12979522560.0,87.68899359999978
