dataset,model,seed,n_channels,parameters,mse,mae,rmse,raw_rmse,seconds
abilene,dlinear,42,144,4656,0.19404634833335876,0.186801016330719,0.4405069351196289,12979536896.0,11.927978899999289
abilene,dlinear,43,144,4656,0.19238583743572235,0.17921601235866547,0.43861809372901917,12979543040.0,13.348819700000604
abilene,dlinear,44,144,4656,0.19551776349544525,0.19794736802577972,0.44217389822006226,12979539968.0,11.977501299999858
abilene,dlinear_scale,42,144,8339,0.18552349507808685,0.16804689168930054,0.4307243824005127,12979517440.0,50.77326730000095
abilene,dlinear_scale,43,144,8339,0.18445460498332977,0.1688472330570221,0.42948177456855774,12979524608.0,42.04587290000018
abilene,dlinear_scale,44,144,8339,0.18831947445869446,0.16771386563777924,0.43395790457725525,12979526656.0,57.06202900000062
abilene,dlinear_scale_static,42,144,8208,0.19312667846679688,0.18670237064361572,0.4394617974758148,12979533824.0,16.6572572999994
abilene,dlinear_scale_static,43,144,8208,0.1930994987487793,0.19584685564041138,0.4394308924674988,12979540992.0,16.106817600000795
abilene,dlinear_scale_static,44,144,8208,0.19502341747283936,0.18685674667358398,0.44161456823349,12979534848.0,18.240922899998623
abilene,lightts,42,144,130162,0.27845314145088196,0.21295683085918427,0.527686595916748,514319908864.0,202.23234570000204
abilene,lightts,43,144,130162,0.259255975484848,0.1991196572780609,0.5091718435287476,29833779200.0,234.59220529999948
abilene,lightts,44,144,130162,0.25862428545951843,0.20068830251693726,0.5085511803627014,14634519552.0,412.2661349000009
geant,dlinear,42,524,4656,0.44988271594047546,0.3771122097969055,0.6707329750061035,30908.322265625,17.013435599999866
geant,dlinear,43,524,4656,0.46296972036361694,0.388968825340271,0.6804187893867493,33782.62109375,17.544271099999605
geant,dlinear,44,524,4656,0.4502049684524536,0.3825499415397644,0.6709731221199036,32801.76171875,15.20679420000124
geant,dlinear_scale,42,524,8339,0.39875033497810364,0.34954139590263367,0.631466805934906,28081.923828125,117.94060080000054
geant,dlinear_scale,43,524,8339,0.49220040440559387,0.40492209792137146,0.7015699744224548,35765.24609375,18.623116099999606
geant,dlinear_scale,44,524,8339,0.4116821587085724,0.3544047772884369,0.6416246294975281,28920.15625,23.068346299998666
geant,dlinear_scale_static,42,524,8208,0.4378691613674164,0.372714638710022,0.6617168188095093,30743.07421875,46.060102799998276
geant,dlinear_scale_static,43,524,8208,0.4364742338657379,0.3695710599422455,0.6606619954109192,29975.314453125,31.140784400000484
geant,dlinear_scale_static,44,524,8208,0.43456634879112244,0.36911076307296753,0.6592164635658264,29682.814453125,30.626457200000004
geant,lightts,42,524,384382,0.7893001437187195,0.5293365716934204,0.8884256482124329,43474.171875,497.4015703999976
geant,lightts,43,524,384382,0.8340440392494202,0.5071224570274353,0.9132601022720337,37565.15625,658.7762110000003
geant,lightts,44,524,384382,0.8265542984008789,0.5316475033760071,0.9091503024101257,33276.14453125,173.94583150000108
