experiment,model,seed,cut_ratio,mse,mae,rmse,parameters,seconds
frequency_cut_025,dlinear_freq,42,0.25,0.19882097840309143,0.19136914610862732,0.44589346647262573,4668,19.32135769999968
frequency_cut_025,dlinear_freq,43,0.25,0.20306994020938873,0.18951939046382904,0.45063281059265137,4668,22.4200436000001
frequency_cut_025,dlinear_freq,44,0.25,0.1992085874080658,0.19907020032405853,0.44632789492607117,4668,18.340709699999934
frequency_cut_025,proposed,42,0.25,0.20838283002376556,0.18451358377933502,0.4564896821975708,8360,122.88854360000005
frequency_cut_025,proposed,43,0.25,0.1948009580373764,0.1803692877292633,0.4413626194000244,8360,83.48058639999999
frequency_cut_025,proposed,44,0.25,0.20213863253593445,0.18225908279418945,0.4495983123779297,8360,48.26727800000026
frequency_cut_050,dlinear_freq,42,0.5,0.19685900211334229,0.19108055531978607,0.44368794560432434,4680,18.350874199999453
frequency_cut_050,dlinear_freq,43,0.5,0.1967492252588272,0.18440401554107666,0.443564236164093,4680,22.373864400000457
frequency_cut_050,dlinear_freq,44,0.5,0.19793519377708435,0.19978344440460205,0.4448990821838379,4680,18.627543999999943
frequency_cut_050,proposed,42,0.5,0.19083210825920105,0.17342692613601685,0.4368433356285095,8381,100.9034171000003
frequency_cut_050,proposed,43,0.5,0.187635138630867,0.17263105511665344,0.4331687092781067,8381,83.63654260000021
frequency_cut_050,proposed,44,0.5,0.1988297402858734,0.17425717413425446,0.4459032714366913,8381,92.64994690000003
frequency_cut_075,dlinear_freq,42,0.75,0.19547870755195618,0.1893886774778366,0.4421297311782837,4692,18.56784179999977
frequency_cut_075,dlinear_freq,43,0.75,0.19433900713920593,0.1816740334033966,0.4408389925956726,4692,23.03627189999952
frequency_cut_075,dlinear_freq,44,0.75,0.19661541283130646,0.19905948638916016,0.4434133768081665,4692,18.359725000000253
frequency_cut_075,proposed,42,0.75,0.1872505098581314,0.17002986371517181,0.4327245056629181,8402,104.97152929999993
frequency_cut_075,proposed,43,0.75,0.18579323589801788,0.1702231764793396,0.43103739619255066,8402,85.89844910000011
frequency_cut_075,proposed,44,0.75,0.1952987015247345,0.17137722671031952,0.44192612171173096,8402,90.92529710000053
