model,seed,parameters,mse,mae,rmse,raw_rmse,seconds
dlinear_scale,42,8339,0.18552349507808685,0.16804689168930054,0.4307243824005127,12979517440.0,278.41145010000037
dlinear_scale,43,8339,0.18445460498332977,0.1688472330570221,0.42948177456855774,12979524608.0,239.55292390000068
dlinear_scale,44,8339,0.18831947445869446,0.16771386563777924,0.43395790457725525,12979526656.0,405.08571289999963
dlinear_scale_static,42,8208,0.19312667846679688,0.18670237064361572,0.4394617974758148,12979533824.0,20.889282699999967
dlinear_scale_static,43,8208,0.1930994987487793,0.19584685564041138,0.4394308924674988,12979540992.0,20.69419949999974
dlinear_scale_static,44,8208,0.19502341747283936,0.18685674667358398,0.44161456823349,12979534848.0,31.571346800000356
proposed,42,8381,0.19083210825920105,0.17342692613601685,0.4368433356285095,12979518464.0,357.0552454999997
proposed,43,8381,0.187635138630867,0.17263105511665344,0.4331687092781067,12979524608.0,496.9307897999988
proposed,44,8381,0.1988297402858734,0.17425717413425446,0.4459032714366913,12979522560.0,442.96195799999987
proposed_static,42,8250,0.19924083352088928,0.19117675721645355,0.44636401534080505,12979535872.0,153.76291599999968
proposed_static,43,8250,0.1990174651145935,0.20079807937145233,0.4461137354373932,12979543040.0,221.9764060999987
proposed_static,44,8250,0.20289237797260284,0.19348923861980438,0.4504357576370239,12979558400.0,275.0634570000002
