scale,scale_index,normalized_flow
1,1,0.4468288124
1,2,0.4500821829
1,3,0.4620056748
1,4,0.4641472399
1,5,0.4012682438
1,6,0.3921616375
1,7,0.4012700915
1,8,0.442938298
1,9,0.4297221303
1,10,0.4807982743
1,11,0.4386014044
1,12,0.4039404988
1,13,0.4207240343
1,14,0.4050520062
1,15,0.4340257943
1,16,0.4675635695
1,17,0.4413249493
1,18,0.4312313497
1,19,0.4847518802
1,20,0.4927018881
1,21,0.5207432508
1,22,0.5556211472
1,23,0.6167661548
1,24,0.5889731646
1,25,0.6000495553
1,26,0.5006136298
1,27,0.4155017138
1,28,0.4352317154
1,29,0.4056928158
1,30,0.3539361358
1,31,0.437174648
1,32,0.4630460143
1,33,0.5768535733
1,34,0.5289838314
1,35,0.5329188108
1,36,0.5086406469
1,37,0.4897386134
1,38,0.4511238337
1,39,0.3690602779
1,40,0.3627125621
1,41,0.3312810957
1,42,0.3825719059
1,43,0.3708695173
1,44,0.4553019106
1,45,0.5009378791
1,46,0.4455523193
1,47,0.4349512458
1,48,0.4623658359
1,49,0.5154368281
1,50,0.5197610855
1,51,0.4688054025
1,52,0.5446512699
1,53,0.5742303729
1,54,0.6054098606
1,55,0.6135764718
1,56,0.5599569082
1,57,0.5467996597
1,58,0.5474411845
1,59,0.5248016715
1,60,0.4983089566
1,61,0.5159176588
1,62,0.5412297249
1,63,0.419165343
1,64,0.4340194464
1,65,0.4188120663
1,66,0.3606878519
1,67,0.3791092932
1,68,0.4671785533
1,69,0.4407503009
1,70,0.4227666557
1,71,0.4244700372
1,72,0.4864743054
1,73,0.5485540032
1,74,0.5497082472
1,75,0.5552996993
1,76,0.5098165274
1,77,0.4715608954
1,78,0.3699123859
1,79,0.3872205019
1,80,0.4663102031
1,81,0.4110569656
1,82,0.3841864765
1,83,0.4125243127
1,84,0.3870384693
1,85,0.3943943381
1,86,0.370637089
1,87,0.3158681095
1,88,0.2816710174
1,89,0.4407102168
1,90,0.4399178624
1,91,0.3550751209
1,92,0.4334459305
1,93,0.4748405814
1,94,0.481772691
1,95,0.5321905613
1,96,0.5705826283
2,1,0.4484554976
2,2,0.4630764574
2,3,0.3967149407
2,4,0.4221041948
2,5,0.4552602023
2,6,0.4212709516
2,7,0.4128880203
2,8,0.4507946819
2,9,0.4362781495
2,10,0.4887268841
2,11,0.538182199
2,12,0.6028696597
2,13,0.5503315926
2,14,0.4253667146
2,15,0.3798144758
2,16,0.4501103312
2,17,0.5529187024
2,18,0.5207797289
2,19,0.4704312235
2,20,0.36588642
2,21,0.3569265008
2,22,0.413085714
2,23,0.4732450992
2,24,0.4486585408
2,25,0.5175989568
2,26,0.5067283362
2,27,0.5898201168
2,28,0.58676669
2,29,0.5471204221
2,30,0.5115553141
2,31,0.5285736918
2,32,0.4265923947
2,33,0.3897499591
2,34,0.4231439233
2,35,0.4317584783
2,36,0.4554721713
2,37,0.5491311252
2,38,0.5325581133
2,39,0.4207366407
2,40,0.4267653525
2,41,0.397621721
2,42,0.399781391
2,43,0.3825157136
2,44,0.2987695634
2,45,0.4403140396
2,46,0.3942605257
2,47,0.4783066362
2,48,0.5513865948
4,1,0.4557659775
4,2,0.4094095677
4,3,0.438265577
4,4,0.4318413511
4,5,0.4625025168
4,6,0.5705259293
4,7,0.4878491536
4,8,0.4149624035
4,9,0.5368492156
4,10,0.4181588218
4,11,0.3850061074
4,12,0.46095182
4,13,0.5121636465
4,14,0.5882934034
4,15,0.5293378681
4,16,0.4775830433
4,17,0.4064469412
4,18,0.4436153248
4,19,0.5408446193
4,20,0.4237509966
4,21,0.398701556
4,22,0.3406426385
4,23,0.4172872826
4,24,0.5148466155
